mode,horizon_s,n_rollouts,n_valid,n_failed,failure_pct,numerical_failure_pct,position_horizontal_m_finite_count,position_horizontal_m_median,position_horizontal_m_p90,position_horizontal_m_p95,position_horizontal_m_mean,position_horizontal_m_max,position_horizontal_m_rmse,position_horizontal_m_equal_log_rmse,position_vertical_m_finite_count,position_vertical_m_median,position_vertical_m_p90,position_vertical_m_p95,position_vertical_m_mean,position_vertical_m_max,position_vertical_m_rmse,position_vertical_m_equal_log_rmse,position_m_finite_count,position_m_median,position_m_p90,position_m_p95,position_m_mean,position_m_max,position_m_rmse,position_m_equal_log_rmse,velocity_m_s_finite_count,velocity_m_s_median,velocity_m_s_p90,velocity_m_s_p95,velocity_m_s_mean,velocity_m_s_max,velocity_m_s_rmse,velocity_m_s_equal_log_rmse,attitude_deg_finite_count,attitude_deg_median,attitude_deg_p90,attitude_deg_p95,attitude_deg_mean,attitude_deg_max,attitude_deg_rmse,attitude_deg_equal_log_rmse,body_rate_rad_s_finite_count,body_rate_rad_s_median,body_rate_rad_s_p90,body_rate_rad_s_p95,body_rate_rad_s_mean,body_rate_rad_s_max,body_rate_rad_s_rmse,body_rate_rad_s_equal_log_rmse,frequency_hz_finite_count,frequency_hz_median,frequency_hz_p90,frequency_hz_p95,frequency_hz_mean,frequency_hz_max,frequency_hz_rmse,frequency_hz_equal_log_rmse,phase_rad_finite_count,phase_rad_median,phase_rad_p90,phase_rad_p95,phase_rad_mean,phase_rad_max,phase_rad_rmse,phase_rad_equal_log_rmse,velocity_x_m_s_finite_count,velocity_x_m_s_median,velocity_x_m_s_p90,velocity_x_m_s_p95,velocity_x_m_s_mean,velocity_x_m_s_max,velocity_x_m_s_rmse,velocity_x_m_s_equal_log_rmse,velocity_y_m_s_finite_count,velocity_y_m_s_median,velocity_y_m_s_p90,velocity_y_m_s_p95,velocity_y_m_s_mean,velocity_y_m_s_max,velocity_y_m_s_rmse,velocity_y_m_s_equal_log_rmse,velocity_z_m_s_finite_count,velocity_z_m_s_median,velocity_z_m_s_p90,velocity_z_m_s_p95,velocity_z_m_s_mean,velocity_z_m_s_max,velocity_z_m_s_rmse,velocity_z_m_s_equal_log_rmse,body_rate_p_rad_s_finite_count,body_rate_p_rad_s_median,body_rate_p_rad_s_p90,body_rate_p_rad_s_p95,body_rate_p_rad_s_mean,body_rate_p_rad_s_max,body_rate_p_rad_s_rmse,body_rate_p_rad_s_equal_log_rmse,body_rate_q_rad_s_finite_count,body_rate_q_rad_s_median,body_rate_q_rad_s_p90,body_rate_q_rad_s_p95,body_rate_q_rad_s_mean,body_rate_q_rad_s_max,body_rate_q_rad_s_rmse,body_rate_q_rad_s_equal_log_rmse,body_rate_r_rad_s_finite_count,body_rate_r_rad_s_median,body_rate_r_rad_s_p90,body_rate_r_rad_s_p95,body_rate_r_rad_s_mean,body_rate_r_rad_s_max,body_rate_r_rad_s_rmse,body_rate_r_rad_s_equal_log_rmse,linear_acceleration_finite_count,linear_acceleration_median,linear_acceleration_p90,linear_acceleration_p95,linear_acceleration_mean,linear_acceleration_max,linear_acceleration_rmse,linear_acceleration_equal_log_rmse,angular_acceleration_finite_count,angular_acceleration_median,angular_acceleration_p90,angular_acceleration_p95,angular_acceleration_mean,angular_acceleration_max,angular_acceleration_rmse,angular_acceleration_equal_log_rmse,deployable,interpretation
D,1.0,722,682,40,5.540166204986149,0.0,722,0.41740577381595395,0.6990000132006081,0.7825480328668533,0.4376332513091041,1.386883850436783,0.48089462616923057,0.47787637633520336,722,0.2033214569091797,0.5166408538818359,0.5999877929687496,0.24730808005108398,1.2534961700439453,0.3149225717313235,0.3119028555906603,722,0.4986003437099943,0.7978508162623195,0.9202035698566141,0.5326661312778872,1.5560708976798212,0.5748355135726346,0.5707211434761881,722,1.0236232257166562,1.6426804330898694,1.9152698780032473,1.0674987484512293,2.7937391549130717,1.161366118110272,1.155863771717399,722,8.7398349318977,15.583124674738054,17.757591144862374,9.59806327490756,30.30173686578237,10.53615343963759,10.513946141853658,722,0.6670564058612483,1.073423602030661,1.2264324761285184,0.6844931583965143,1.947416074572648,0.7521097996724648,0.7494677851436734,722,0.13921260833740234,0.3324368476867675,0.3858999609947204,0.15961645217483394,0.5327723026275635,0.19697011172196677,0.19690644068398533,722,0.40388791784066314,0.9706027823501501,1.1367880210631138,0.47792852185375406,1.6754240718854376,0.5932169539964062,0.5899351801643039,722,0.44163811206817627,1.0130125761032105,1.1733766436576842,0.5136529371820241,2.2438669204711914,0.6413156906161335,0.6376182926307383,722,0.4611626863479614,1.0756341844797135,1.2892049074172967,0.5338148079938939,2.10517555475235,0.6567944404083406,0.6505902936731688,722,0.46806374192237854,1.1555697396397588,1.3494958400726316,0.5673530312910304,2.1394912004470825,0.7114116307123243,0.7093129669916992,722,0.3263884484767914,0.8847515426576137,1.0670007489621636,0.4094415127292954,1.7324893772602081,0.5294288496989267,0.5250341264609799,722,0.38952658884227276,0.7753487508744001,0.8508554216474293,0.41554057059024,1.316111482679844,0.48865590094278855,0.48758198581149975,722,0.13150979485362768,0.3650171265006065,0.45197034105658523,0.16412348993361375,0.8783523067831993,0.21584636745523014,0.2153527757139483,722,10.409062255182786,13.327598296624672,14.254146533752245,10.463104352471841,15.836707395445583,10.682905099186224,10.683447627543389,722,28.97588439739976,37.61413399163542,40.22752500408737,29.588984003881478,49.96614000538531,30.234760936216215,30.217615923775146,True,autonomous
D,2.0,722,630,92,12.742382271468145,0.0,722,1.4672862496510581,2.7526270946489997,3.2313525057430788,1.594434703762301,5.9464736816219865,1.8078813450905755,1.7932954448583014,722,0.46378421783447266,1.211039161682129,1.4643156528472878,0.5689119207892062,2.4634761810302734,0.7313682618616388,0.727152330623834,722,1.6043632549554285,2.8402823008880693,3.334867078908783,1.7665705993061895,6.014139084144654,1.950213960668168,1.9358293243876923,722,1.6286406302725658,3.163442832878764,3.8606891000492114,1.8550128785609459,7.056155734291059,2.111989718735423,2.0955752752428563,722,13.710379084465817,27.19723481460124,33.05544062537433,15.781177175821593,61.87555042568341,18.097961601711297,18.014177384000913,722,0.6763783650129285,1.112042096329487,1.2728194787313725,0.6987431395280954,1.83371966427482,0.7659412578321526,0.7633462520986449,722,0.14590156078338623,0.3389325380325317,0.3797912001609802,0.16594403536365965,0.5512604713439941,0.2025574800215552,0.20240019572101908,722,0.6317900395651499,1.475574053754284,1.7984823537570045,0.7369154907687794,3.0949219920621616,0.9204900250246584,0.9142625082230037,722,0.7992329373955727,2.1447171926498405,2.7030389904975842,1.0166247642081143,6.903706789016724,1.3523367771874946,1.333959739034999,722,0.9071683883666992,2.413308525085449,2.9317930914461576,1.1032427083920182,5.17442312836647,1.435101642833511,1.4229503251333928,722,0.5115878507494926,1.240259152650833,1.475356337428089,0.6075292113952989,2.280025839805603,0.7564185930070937,0.7543334463922577,722,0.3432321771979332,0.9106555730104446,1.0902928639203304,0.41766830417327583,1.735212123952806,0.5358898242891001,0.5311073393694145,722,0.3928486481308937,0.7597576333209872,0.8422305963933466,0.4145652746953911,1.3516481146216393,0.4882887540041861,0.4875068280486065,722,0.14992119744420052,0.4288108870387077,0.5161090053617954,0.1907354821243412,0.9937367290258408,0.24710766759843128,0.24662783753226286,722,10.362476549687887,13.390497190104991,14.425947923498105,10.52277570927196,17.08805059221413,10.74387708896338,10.742929021339963,722,29.044650398646795,38.12807285191483,40.52985247254207,29.563322761176558,49.6036256351423,30.215366433663036,30.20221996416758,True,autonomous
D,3.0,722,569,153,21.191135734072024,0.0,722,3.09172983455139,6.424497110932342,7.738999863634231,3.5864118860453966,15.340113119758776,4.175946671787882,4.138781914738567,722,0.6663599014282227,1.7337125778198237,2.1750884652137756,0.8128704393999728,3.4941978454589844,1.0485073566806709,1.0425581679326668,722,3.2548523694058242,6.570228660549635,7.81426330995039,3.767612804262131,15.506652373833777,4.3055659654254255,4.269197721318607,722,2.3460983489240936,5.032836442132777,6.169548836855944,2.7723088299525354,13.017045539718055,3.2751958705613937,3.249016697270419,722,19.37933866235676,43.0987029190322,51.48382099231376,22.927008701307802,104.61243043151981,27.34122289347426,27.157844723962864,722,0.676328894948839,1.152733459104339,1.2668256518325063,0.7077041553309583,1.9518696882030682,0.7767207169188779,0.7741634827250297,722,0.1471083164215088,0.3408130407333374,0.3845874667167663,0.16811463013910521,0.5420691967010498,0.20404661312405825,0.2039183955983339,722,0.8259481145630936,2.034025483552849,2.3171488109893987,0.9613929891211302,3.098069387889879,1.1930388586557126,1.1809863639205933,722,1.2271207571029663,3.668987798690795,4.396625143289565,1.6338458529997932,12.131750345230103,2.2290202834519355,2.190691967573355,722,1.3319161534309387,3.8406530380249015,4.755372997373342,1.7340852950436483,9.278358936309814,2.2907858859922072,2.283176320143714,722,0.5092983990907669,1.1201170152053237,1.4123918026685713,0.5728635700797492,2.561588555574417,0.7146163943271621,0.711332960062426,722,0.34850959153845906,0.9157703273929655,1.1448519285768264,0.4258294397677421,1.88822191208601,0.5477083668083922,0.5430725522625296,722,0.40152060613036156,0.7520144015550613,0.8386888793669629,0.4139148082319991,1.4111002292484045,0.4857078908144063,0.4853091746491721,722,0.1698937974870205,0.4309842395479791,0.514114490151405,0.20274732390142444,1.012563742697239,0.25961213727343363,0.25862537239249406,722,10.458366199583464,13.458060557896665,14.153581897737677,10.523578009995058,16.557620424632336,10.75152602512254,10.75292437136434,722,28.909144767501502,37.818769005718515,40.46115049771897,29.470020486522674,50.374932780370806,30.124970985265676,30.109661750891966,True,autonomous
D,5.0,722,467,255,35.3185595567867,0.0,722,8.352310132954607,18.96086646699983,22.013381884057438,9.890312888246239,45.548079929753136,11.81758506126865,11.71125708724235,722,0.9465680122375488,2.447685623168945,2.9777723789215083,1.1821080216327862,4.584925651550293,1.5006613676500031,1.4918141257075768,722,8.469885560122055,19.002577116192587,22.031669349933605,10.049920493229807,45.562079439246894,11.912485098445124,11.807260095416579,722,3.6151145436271177,8.27419980932589,10.203612851772222,4.246742690994313,17.413504534016504,5.101343147644553,5.051508717946898,722,29.806947972424595,74.93296835429032,88.65494099003607,37.41830870431687,167.66580345721007,45.977756470369954,45.531760292680175,722,0.6962372078606149,1.148475980885725,1.330554434209579,0.718060523275584,2.096101421735212,0.7909895228948405,0.7878787403256609,722,0.143607497215271,0.3349288463592529,0.3797031044960021,0.16557930083816402,0.5410246849060059,0.20170271890562938,0.20164091764916708,722,1.3338312442207538,2.629647201115625,2.9284102471048077,1.3914695960577586,3.1144835434847096,1.6304824531210318,1.6259295335086175,722,1.9828050136566162,5.790143266320228,7.374473693966862,2.5976196353944854,16.995806217193604,3.5025989026580784,3.438705235860062,722,2.0614607334136963,6.317669135332107,7.667685681581495,2.7486097096037274,12.136156558990479,3.641481010618555,3.6244575027361052,722,0.4816357046365738,1.1660305589437479,1.4048699602484689,0.5648839282964477,2.2292201220989227,0.7036468478028807,0.6996649727995597,722,0.33438675850629807,0.9139597117900847,1.1547546805813906,0.42372841427700564,2.025883261114359,0.5525177608389735,0.5474528381437964,722,0.4096670080907643,0.7689574636518954,0.848449987731874,0.4238120475032566,2.072175443172455,0.5005865502389509,0.49959383890685755,722,0.1787592691835016,0.4344683222472667,0.5147250900045036,0.20872348488326709,0.9937832057476044,0.2642000284003781,0.26370796313566236,722,10.527503226020627,13.331374714283482,14.084477820174325,10.482339452945258,16.48240348729027,10.710878734255422,10.712404157272468,722,28.860017718336174,37.81255717142184,40.43251539103751,29.355188371445095,50.55603772466399,30.020099946530927,29.999751778643702,True,autonomous
R13,0.2,722,718,4,0.554016620498615,0.0,722,0.03248122276948287,0.06375290533135465,0.07763871763216112,0.03596250248520328,0.1801936699082974,0.04319942408460022,0.04294098328403284,722,0.0685739517211914,0.11676235198974609,0.12603120803833007,0.06905535895408356,0.18034029006958008,0.07845197768526933,0.07786856411227597,722,0.08160206078671164,0.12577705371703796,0.138233820771786,0.08296278209167922,0.20934656520420272,0.08955949443789382,0.08900939489381451,722,0.4465659911271208,0.751575912619627,0.8365079133619965,0.4655002610566497,1.1822290760350118,0.5146838676373359,0.5144650913686117,722,2.7774679486861746,4.925947979302007,5.830624665441541,3.0092559277476534,8.62160086157112,3.34459291484172,3.3329967944556373,722,0.651551082613476,1.0214819201180125,1.1418023530533357,0.6635071164767535,1.9702693967505098,0.7229456982708354,0.7222161528858169,722,0.13935339450836182,0.31288447380065915,0.362632942199707,0.15827479999811694,0.5043396949768066,0.19232631533992486,0.19264957249300052,722,0.16629640180495286,0.37342539970307564,0.4288734562605095,0.1862817036401647,0.6666176109564931,0.22631127227210696,0.22629481882720398,722,0.11297321319580078,0.2897503450512886,0.3367788076400755,0.13792804848606546,0.6154232025146484,0.17495340584201408,0.17381480658591725,722,0.11517071723937988,0.2858759403228759,0.3460191249847412,0.1365870539682022,0.6156561374664307,0.17221334437641736,0.17157281713076852,722,0.3671915791928768,0.7113330766558646,0.7915409561246631,0.3792728353765796,1.1639639735221863,0.45236418227916275,0.45252705489603107,722,0.33326661586761475,0.7888665199279785,0.9317296206951137,0.3902578613451725,1.4919878169894218,0.48707792495241253,0.4850104647803102,722,0.41132688894867897,0.7646678969264029,0.8778194889426225,0.4230089220132903,1.3795624673366547,0.49371686709382306,0.49361286876123645,722,0.12870887480676174,0.3348922284319996,0.41061647087335573,0.15877129682846022,0.701481819152832,0.2040814367340109,0.2044592855986919,722,9.383433883895224,13.252502025221476,13.90303669259575,9.757734806041919,16.702269980497274,10.064443417133926,10.059158244033249,722,28.388403235312786,36.563872717343614,39.858790269316415,28.779653517882373,68.01475411223493,29.444950499217303,29.458281398538837,True,autonomous
R13,0.5,722,707,15,2.0775623268698062,0.0,722,0.12120074845067672,0.21178911308077938,0.2509862357647009,0.13022537438388937,0.46474433357214184,0.14709222655515508,0.14636130444307788,722,0.11818313598632812,0.23414382934570313,0.2777268409729001,0.12858515598106912,0.46523070335388184,0.15430268879282086,0.15295891889207663,722,0.1913230415028226,0.29422172740767294,0.34914768360388715,0.1969618433199757,0.5563439435895517,0.2131793678610742,0.21199819101657483,722,0.5997426581684224,0.9737132969930419,1.1265385854483962,0.6381876378956043,2.3804649642497258,0.6923724468878474,0.6902818769940656,722,5.705577833902938,9.804362540114969,10.902556194840605,5.988494191291497,18.770536087616875,6.589957385598604,6.582696861635118,722,0.6977860260415053,1.1644857488906943,1.3183616345242897,0.7265395298888256,1.910284864546657,0.7933773071539972,0.7938043413062535,722,0.13580453395843506,0.31644585132598874,0.3516423106193542,0.15511711152306554,0.4867889881134033,0.18807408546760146,0.18790976985835556,722,0.2366737503153048,0.5507893558507349,0.6442545531383839,0.276737477936425,0.9747572472003085,0.342748496279357,0.34177408817215166,722,0.2540992498397827,0.52218599319458,0.5931163311004638,0.2734418102424628,1.2196826934814453,0.32807871105897285,0.32540496224047577,722,0.25069206953048706,0.5412424087524413,0.5925607204437254,0.27692649712646766,1.5127246230840683,0.3376408876862685,0.3359195073980007,722,0.3663862645626068,0.7854164250195025,0.9737690120935436,0.41188427708576075,2.0483038425445557,0.5076835584513022,0.5067879393584312,722,0.36091602593660355,0.9495914027094841,1.1504163324832914,0.4463696044613672,1.656641572713852,0.5700913748536041,0.5688133179651024,722,0.41735414788126945,0.7988951276987791,0.8540018538944422,0.4383848222598438,1.7286490835249424,0.5106510644613542,0.5111985269389525,722,0.1304028406739235,0.34289347473531956,0.40059904083609565,0.1624713837956325,0.7731986343860626,0.20899489512651123,0.2084701295428344,722,10.341583843614671,13.216404670376576,13.799575790889907,10.45182783147592,16.333653249954168,10.683829231888028,10.681669161899752,722,29.051196691130315,38.47103590387131,40.77289602724782,29.521290076712887,50.37411901627184,30.197476072858453,30.21068040129027,True,autonomous
R13,1.0,722,691,31,4.293628808864266,0.0,722,0.4328246075939636,0.6979562221630836,0.7981558448467692,0.4446130375037708,1.3838941981392059,0.48827352722362216,0.48514102440406803,722,0.2115154266357422,0.5364288330078125,0.641962242126464,0.2523655518270265,1.2318973541259766,0.323925947427387,0.3211004021218334,722,0.5109117124075827,0.8174848127599473,0.9476817993142869,0.5410682532503716,1.5495269328905932,0.58595141164104,0.5818460242519186,722,1.018483374702169,1.6740657839631896,1.8995321415998419,1.068906836905428,2.762614387888857,1.161692476791376,1.15641994216553,722,9.167194014931665,16.074680669815876,19.171473902454736,10.075360011902465,30.54300750314992,11.06665167445713,11.048382783214004,722,0.7244803234577211,1.1622799376664725,1.3574983038043136,0.743549900921225,2.0368477620482643,0.815150688688521,0.811223305878395,722,0.1381387710571289,0.32248995304107664,0.37686139345169045,0.16112229797648592,0.5091152191162109,0.19671609673860205,0.1967054282161444,722,0.4245141726696424,0.9829830934341223,1.1358371996997976,0.48124717568680403,1.7673920725950367,0.5947200103296434,0.5916646771314593,722,0.461635947227478,1.0489262342453003,1.270793801546096,0.5354707788020099,2.131216287612915,0.6663575738310845,0.6618131512428272,722,0.4781414270401001,1.1228651413694022,1.339127504825592,0.5485431069799717,2.0698145925998688,0.6725070701306644,0.6663142818354635,722,0.4675958901643753,1.110659196972847,1.2794245436787604,0.5417646296250432,2.0574885308742523,0.6732245056858096,0.671339568632671,722,0.3970565255731344,1.0010326020419595,1.225749550014734,0.47562345566706593,1.8127466812729836,0.6032183095155997,0.5970058314378177,722,0.4047241657972336,0.7876590609550476,0.865336837712675,0.42053193001462263,1.2384072840213776,0.4960798824720974,0.49535738255109035,722,0.13792141899466515,0.3836500886827706,0.4788530372083184,0.17734382409636104,0.8960660099983215,0.23345891831536916,0.2320095469110262,722,10.512669716057378,13.544192205246455,14.386227461398692,10.586349367551302,15.993268314573635,10.822237391341421,10.82655665282467,722,29.84051831699213,38.84259778185875,41.57592167848865,30.377687016933006,49.98466731337476,31.03782188912412,31.024390003374272,True,autonomous
R13,2.0,722,653,69,9.556786703601109,0.0,722,1.521485784906582,2.886851806010506,3.375903632905813,1.6691716244268215,6.32589733582961,1.9033787393659212,1.8866329190380502,722,0.44126176834106445,1.1141944885253907,1.3928555011749262,0.5413414655960167,3.0514001846313477,0.6983355319558374,0.6919820176903754,722,1.6711542230924472,3.0440146024011656,3.50229180286938,1.8184969051842452,6.34344661119822,2.027442512295292,2.0106726095786907,722,1.691732162407046,3.417285330623482,4.067693131358628,1.9698325279055564,7.488536620825762,2.2613152243659274,2.2386663157077296,722,15.281347061029058,31.45363712573242,37.101087925840545,17.853128763571732,65.70811050895134,20.356292106186313,20.225541734259764,722,0.682436290050968,1.1439241167618648,1.3091790587304886,0.7121166397651169,1.8029354309706742,0.7817076237332286,0.7785231193894059,722,0.1415729522705078,0.3270833492279052,0.38079499006271356,0.16390118044168994,0.5290987491607666,0.2002085549687616,0.19996932803550674,722,0.605893293304174,1.4455011660501438,1.7380939064441627,0.714173500778717,3.072084040698812,0.8994045295623023,0.8930410484966739,722,0.864001989364624,2.3843033790588377,3.128246796131128,1.1109501666829913,7.411324977874756,1.4739711485825235,1.4548904840087638,722,0.9112858772277832,2.540061926841736,3.154942440986631,1.1718002748030685,6.094938188791275,1.5412655706736769,1.521799420135279,722,0.5100777018815279,1.2351566433906556,1.5102307697758068,0.600785979546395,2.318251132965088,0.7519681095308396,0.7484940491727616,722,0.3491865359246731,0.9336743143387137,1.1325807347893713,0.425266765667528,1.7325201574712992,0.5473800675355357,0.5420976021744051,722,0.382772471755743,0.7655146606266499,0.8494961462914943,0.4136880782469617,1.3201093822717667,0.48905557314158266,0.48765440611600397,722,0.16029716725461185,0.4443368226289749,0.5629679959267377,0.20536829066164358,0.953379787504673,0.26882432376293863,0.266914726667688,722,10.329699626507937,13.38345411807444,14.283188965856002,10.509422941054432,16.768399557498434,10.727989782439135,10.725353821975151,722,29.29571890118919,38.313668326247004,40.97370099619469,29.732382472355205,49.51973341158666,30.405326255665575,30.385448336875022,True,autonomous
R13,3.0,722,598,124,17.174515235457065,0.0,722,3.233480741763097,7.07512862828375,8.304499028788864,3.8211608685991467,16.284638318848558,4.513037927158783,4.460405766978409,722,0.584884762763977,1.6656442642211913,2.0324867248535146,0.7749532314218642,4.489519119262695,1.0218050224650075,1.009932079318838,722,3.3562833507691634,7.129168918682916,8.427820528672331,3.9790439498426036,16.368149949698033,4.627266670066505,4.574791717329424,722,2.4203425681833233,5.777814146540105,6.897583517414531,2.997299900209243,13.965014839662382,3.6145642727411693,3.5668781090115074,722,21.71709328941924,50.78906510921467,59.00410514123538,26.432693039826823,120.0340489846949,31.451293734239524,31.115642068375575,722,0.6880367632658859,1.1639325687286362,1.2998427293429626,0.7275476660460726,1.9288825190514303,0.7976920521756309,0.7953820149795274,722,0.14092564582824707,0.33532726764678955,0.38996542692184444,0.1640088723306841,0.5404930114746094,0.20151427789780063,0.2012332275781401,722,0.7469287372414579,1.9188188366154058,2.237687216059146,0.9109417438884243,3.098155342020313,1.1364240259048237,1.121327713800052,722,1.2820186614990234,3.917562514543532,5.09138326793909,1.7908966550458394,11.992319822311401,2.4737702129063956,2.4340046791868666,722,1.2888997495174408,4.253148522973061,5.284474688768381,1.853553531156115,10.328669309616089,2.5249020234245765,2.489382048285882,722,0.5089728534221649,1.2433465801179409,1.4456044405698774,0.600393429068317,2.577561318874359,0.7552520027252012,0.7512515227025799,722,0.3432207014411688,0.966276953369379,1.1476549804210654,0.43226808103071035,1.8492096215486526,0.5594929463595573,0.5553961073356211,722,0.39505530148744583,0.7748333048075436,0.8582155316136777,0.41825806844974367,1.4240579158067703,0.49218001067021017,0.49191891975691976,722,0.17435539048165083,0.49014357030391686,0.5757161365821954,0.21882382702309583,1.205267310142517,0.2846736555685171,0.2828282128973439,722,10.519958747309092,13.518733234399432,14.252213803648297,10.588969488609285,16.87457345382382,10.818535642914316,10.817797448441784,722,29.179577867940093,38.108254581457,40.899173357487776,29.697292917665926,49.552147397956965,30.36079284405702,30.351611838762903,True,autonomous
R13,5.0,722,514,208,28.80886426592798,0.0,722,8.548423055717418,22.182374248201462,25.926186640174176,10.764858982288498,48.6165026900314,13.284098527179177,13.087367966243175,722,0.9137840270996094,2.4631622314453123,3.200896930694575,1.197477552038811,6.835278034210205,1.6035174918770716,1.582813627719257,722,8.634303941902203,22.46517042955509,26.007218701606334,10.924479800767651,48.6261987589662,13.380528465892509,13.18472957763861,722,3.8792533961043514,10.034879348382875,11.98902020237177,4.7849964262139135,16.285857885228392,5.894112425242228,5.81381828080539,722,33.44008714649578,91.41146934480064,108.13135041387088,42.672607467214135,179.2303039597995,53.61226934762552,52.760235233449805,722,0.7022242900746382,1.1540066824670627,1.3502618163973505,0.7339720288754692,2.040163055559769,0.8070899381449449,0.8038867749273313,722,0.13816261291503906,0.33537545204162594,0.3904374122619629,0.16292214988011072,0.5356028079986572,0.20092616475352182,0.2006670303348387,722,1.1957342813566356,2.6710192752704613,2.9076205422879613,1.3159597983265625,3.1395167437299,1.5764396937353442,1.5592212164490362,722,2.1706526279449463,6.670589600503445,8.421966969966887,2.9829011404421824,15.74584150314331,4.078033041763118,4.011662407687778,722,1.9347130060195923,7.321014952659605,9.050250506401062,3.0061048670269424,15.594171047210693,4.189490426141998,4.137419483043892,722,0.5308979898691177,1.2195870310068129,1.4477648822590699,0.5959692887060211,2.7237401008605957,0.7472467871778454,0.7432453535232747,722,0.3398759737610817,0.9242301329970359,1.1446605621837078,0.4303270987747108,1.9512086883187294,0.5628138027614001,0.5576113275458389,722,0.4072318281978369,0.7666902296245098,0.8727838299237192,0.42823610767925935,2.004730075597763,0.5058373112597113,0.5047012893828704,722,0.17332839407026768,0.4659749223850667,0.546747550740838,0.21746867517772203,1.1039743982255459,0.28064818940019653,0.279205335402062,722,10.528289051388182,13.365590469904065,14.301319087622087,10.546295254876163,17.024601728531586,10.777589983480576,10.780786637747173,722,29.02677975388226,37.83558843024426,40.364869909665806,29.48373098342488,50.151333082058876,30.151851165721208,30.130185686723593,True,autonomous
R26,0.2,722,720,2,0.2770083102493075,0.0,722,0.03253649078698069,0.06336216790686472,0.07798258531941728,0.035844960099440076,0.1796255497398638,0.04306538289090067,0.04280847953772972,722,0.067230224609375,0.11459131240844725,0.12574539184570313,0.06786839090225769,0.1854236125946045,0.07713345242110098,0.07656806125948198,722,0.07906441384519847,0.12491693282365346,0.13695434919549615,0.0817746269460832,0.20418140008644814,0.0883413645238635,0.0878106879532556,722,0.443160335447625,0.7416614521664289,0.8211216237104305,0.4583312133209851,1.159896296905819,0.5055007846458052,0.505289787753967,722,2.664491561620225,4.8223726849449315,5.702649039688978,2.8835132974368345,9.113882682148807,3.2264917018650614,3.2102418044006953,722,0.6283545328071756,0.9989043206399906,1.108243579741747,0.6526945256009462,1.9619812439137085,0.7103784594471144,0.7101301139211869,722,0.14174377918243408,0.3166164636611938,0.36033418178558335,0.15829291353595554,0.49334192276000977,0.19236347114244323,0.1926674305993668,722,0.16621810883914634,0.37133884674761647,0.42641692588386215,0.18645089668925297,0.6612994461310535,0.22633537932572553,0.2263310847036951,722,0.11634516716003418,0.2923077866435051,0.34379041194915766,0.13847109282691125,0.6203458309173584,0.17558859206297564,0.17454069548994594,722,0.11527097225189209,0.28317699432373045,0.3471841216087341,0.13705357469855667,0.6189785003662109,0.17308793871147585,0.17243741987601827,722,0.35895073413848877,0.701562836766243,0.7869351860135793,0.37165460757455865,1.1482318043708801,0.4412938421137089,0.4414239875333562,722,0.34450464526889846,0.7540906608104706,0.8943432249128818,0.3839602795718309,1.5429540276527405,0.4756264589674585,0.4741953634845267,722,0.39641014114022255,0.7468483634293079,0.8772523590363561,0.4175401536663646,1.353311151266098,0.4880979430622351,0.487785658789084,722,0.12708894163370132,0.3208294218406081,0.404825887829065,0.15568348695249928,0.7279535531997681,0.20044307210514192,0.20093451184546826,722,9.424227407729315,13.266820022335464,13.908393938758497,9.770944867168637,16.776708004789846,10.079731425518585,10.073463982355655,722,28.662447725681496,36.75041021143865,40.13079063430583,28.94002834506732,67.88290486110269,29.61731912136983,29.633411826722277,True,autonomous
