flight_id,cohort
9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17
9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17
9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17
9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17
9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17
9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17
9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17
9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17
2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7
2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7
2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7
2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7
2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7
2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7
2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7
2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7
2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7
