mode,pattern,step,cohort,metric,unit,n,local_better,local_worse
Mission,ALL,15,ALL,attitude_deg,seed,3,3,0
Mission,ALL,15,ALL,body_rate_rad_s,seed,3,3,0
Mission,ALL,15,ALL,p_rad_s,seed,3,3,0
Mission,ALL,15,ALL,position_m,seed,3,3,0
Mission,ALL,15,ALL,q_rad_s,seed,3,3,0
Mission,ALL,15,ALL,r_rad_s,seed,3,2,1
Mission,ALL,15,ALL,roll_deg,seed,3,3,0
Mission,ALL,15,ALL,velocity_m_s,seed,3,3,0
Mission,ALL,15,Sep17,attitude_deg,seed,3,3,0
Mission,ALL,15,Sep17,body_rate_rad_s,seed,3,3,0
Mission,ALL,15,Sep17,p_rad_s,seed,3,3,0
Mission,ALL,15,Sep17,position_m,seed,3,3,0
Mission,ALL,15,Sep17,q_rad_s,seed,3,3,0
Mission,ALL,15,Sep17,r_rad_s,seed,3,3,0
Mission,ALL,15,Sep17,roll_deg,seed,3,3,0
Mission,ALL,15,Sep17,velocity_m_s,seed,3,3,0
Mission,ALL,15,Sep7,attitude_deg,seed,3,3,0
Mission,ALL,15,Sep7,body_rate_rad_s,seed,3,0,3
Mission,ALL,15,Sep7,p_rad_s,seed,3,0,3
Mission,ALL,15,Sep7,position_m,seed,3,3,0
Mission,ALL,15,Sep7,q_rad_s,seed,3,1,2
Mission,ALL,15,Sep7,r_rad_s,seed,3,0,3
Mission,ALL,15,Sep7,roll_deg,seed,3,3,0
Mission,ALL,15,Sep7,velocity_m_s,seed,3,3,0
Mission,ALL,20,ALL,attitude_deg,seed,3,3,0
Mission,ALL,20,ALL,body_rate_rad_s,seed,3,3,0
Mission,ALL,20,ALL,p_rad_s,seed,3,3,0
Mission,ALL,20,ALL,position_m,seed,3,3,0
Mission,ALL,20,ALL,q_rad_s,seed,3,3,0
Mission,ALL,20,ALL,r_rad_s,seed,3,2,1
Mission,ALL,20,ALL,roll_deg,seed,3,3,0
Mission,ALL,20,ALL,velocity_m_s,seed,3,3,0
Mission,ALL,20,Sep17,attitude_deg,seed,3,3,0
Mission,ALL,20,Sep17,body_rate_rad_s,seed,3,3,0
Mission,ALL,20,Sep17,p_rad_s,seed,3,3,0
Mission,ALL,20,Sep17,position_m,seed,3,3,0
Mission,ALL,20,Sep17,q_rad_s,seed,3,3,0
Mission,ALL,20,Sep17,r_rad_s,seed,3,3,0
Mission,ALL,20,Sep17,roll_deg,seed,3,3,0
Mission,ALL,20,Sep17,velocity_m_s,seed,3,3,0
Mission,ALL,20,Sep7,attitude_deg,seed,3,3,0
Mission,ALL,20,Sep7,body_rate_rad_s,seed,3,3,0
Mission,ALL,20,Sep7,p_rad_s,seed,3,3,0
Mission,ALL,20,Sep7,position_m,seed,3,3,0
Mission,ALL,20,Sep7,q_rad_s,seed,3,2,1
Mission,ALL,20,Sep7,r_rad_s,seed,3,0,3
Mission,ALL,20,Sep7,roll_deg,seed,3,3,0
Mission,ALL,20,Sep7,velocity_m_s,seed,3,3,0
Mission,ALL,25,ALL,attitude_deg,seed,3,3,0
Mission,ALL,25,ALL,body_rate_rad_s,seed,3,3,0
Mission,ALL,25,ALL,p_rad_s,seed,3,3,0
Mission,ALL,25,ALL,position_m,seed,3,3,0
Mission,ALL,25,ALL,q_rad_s,seed,3,3,0
Mission,ALL,25,ALL,r_rad_s,seed,3,3,0
Mission,ALL,25,ALL,roll_deg,seed,3,3,0
Mission,ALL,25,ALL,velocity_m_s,seed,3,3,0
Mission,ALL,25,Sep17,attitude_deg,seed,3,3,0
Mission,ALL,25,Sep17,body_rate_rad_s,seed,3,3,0
Mission,ALL,25,Sep17,p_rad_s,seed,3,3,0
Mission,ALL,25,Sep17,position_m,seed,3,3,0
Mission,ALL,25,Sep17,q_rad_s,seed,3,3,0
Mission,ALL,25,Sep17,r_rad_s,seed,3,3,0
Mission,ALL,25,Sep17,roll_deg,seed,3,3,0
Mission,ALL,25,Sep17,velocity_m_s,seed,3,3,0
Mission,ALL,25,Sep7,attitude_deg,seed,3,3,0
Mission,ALL,25,Sep7,body_rate_rad_s,seed,3,3,0
Mission,ALL,25,Sep7,p_rad_s,seed,3,3,0
Mission,ALL,25,Sep7,position_m,seed,3,3,0
Mission,ALL,25,Sep7,q_rad_s,seed,3,3,0
Mission,ALL,25,Sep7,r_rad_s,seed,3,1,2
Mission,ALL,25,Sep7,roll_deg,seed,3,3,0
